Ground truth number,HITId
1,37Y5RYYI0O4J3I92MOKJL6OXDLPSXT
2,3PCPFX4U4ZPQQG34UQPSKZ9PRS8FQ0
3,3IHWR4LC7CC4U35Y94ED151HDEEI8J
4,32XN26MTXYIO2F81Z3YB06NRBKW0LS
5,3VO4XFFP14LDBNOYC7RGW7W8T4PQ77
6,3BDORL6HKJCJZ5YUG3ORHJYRQ1ICRN
7,3X0EMNLXEOOUM1OFUSF72GM1AQ9PV6
