Ground truth number,HITId
1,386659BNTKGBC84X6TGSGREDGO301L
2,31J7RYECZKPO94TJVM2BEB61JMD1LU
3,3LEG2HW4UEM9YX1JSFZROHBMEW5F2K
4,3D3B8GE891QWPUBCRRABAYX4M829P9
5,3X7837UUACXDL06GY72FTSKQN8O6JV
6,39XCQ6V3KX35E1RV95YLSI1L57U569
7,3VGZ74AYTFFSAFPG0SUFIFKKR2ICGP
