"Ground truth number","Category","Average working time (s)","Average finishing time (s)","Average reaction time (s)"
"1","Jewelry & Watches","78.6666666667","27353.3333333","27274.6666667"
"2","Cell Phones & Accessories","36.3333333333","27556.3333333","27520.0"
"3","Sports Mem, Cards & Fan Shop","83.6666666667","36981.0","36897.3333333"
"4","Home & Garden","58.3333333333","27557.0","27498.6666667"
"5","Sporting Goods","245.666666667","40518.3333333","40272.6666667"
"6","Toys & Hobbies","67.0","27490.6666667","27423.6666667"
"7","Women's Handbags & Bags","93.3333333333","9209.33333333","9116.0"
