Ground truth number,HITId
1,34YWR3PJ279J29PQDM1ZB0IEKV60XK
2,3TZDZ3Y0JR5T82SA6PZL92F6IKL91D
3,34O39PNDK570P06O23SW6ZS9AIIBRL
4,34KYK9TV2Q7CQF61HSS1W9X5WK1BS9
5,3BS6ERDL9260IE6OOBG4QUPDHGFD6V
6,3MGHRFQY2KO82EF0IIN1UEPNM100YQ
7,35ZRNT9RUHXSPSAVVIWMULPSB3L3OD
