Ground truth number,HITId
1,3M93N4X8HJMI8Y4D5K5IUXGI2SWJSS
2,301KG0KX9BKTCTSPN5NRR2NZR6TH2I
3,3VW0145YLXBFA3R8LN9WIOHCA3EMJJ
4,3BJKPTD2QBB0LM052PJH6TYVES3TRI
5,3W0XM68YZOUDPYB1AMQAZBTMRHJ1KP
6,3A520CCNWMZ6XMWRAJ80CH9KBETEA6
7,3VGET1QSZZYIVKKKOGQMOWEUHARW7C
