Ground truth number,HITId
1,3RZS0FBRWJ9YNSIF3BK2COYCRI3PCH
2,3MXX6RQ9EU4VSO50AWEKTQMOZ5M4PJ
3,3FBEFUUYRJ42K73C41P20TH7WASA6U
4,3I6NF2WGIFV7BUG1LI7749EAYAV5GM
5,3SCKNODZ0WFS8QB6WFZZSD13QSB7NA
6,3DQYSJDTYKAITZ4KLT0EWPKIETPEXN
7,39KV3A5D176PO33B4BGLR7B9DRJS77
