"Ground truth number","Title","Average finding working time (s)","Average finding finishing time (s)","Average finding reaction time (s)","Average voting working time (s)","Average voting finishing time (s)","Average voting reaction time (s)","Length of title"
"1","Black Puma Digital Watch, Changable Faces, Model PU910751011, Like New with Box","64.3333333333","17971.0","17906.6666667","73.0","18550.6666667","18477.6666667","79"
"2","Black Iphone 4, comes with box, USB Cord and wall charger","91.0","3675.0","3584.0","114.666666667","4293.0","4178.33333333","57"
"3","13 NFL cards. 8 Jersey cards, 5 signed cards. Perfect condition!","165.0","27579.6666667","27414.6666667","200.333333333","13977.0","13776.6666667","64"
"4","Red Nespresso Citiz Espresso Maker Aeroccino C111-US-RE-NE1","135.333333333","12024.0","11888.6666667","72.0","6879.0","6807.0","59"
"5","Nike Mercurial Baseball Softball Shoe, Lime green, pro, swoosh, leather, used","256.666666667","21499.0","21242.3333333","100.0","18951.6666667","18851.6666667","77"
"6","Palisades Alexia Ashford Resident Evil: Series 2 action figure MIB","80.6666666667","2481.33333333","2400.66666667","100.0","11760.0","11660.0","66"
"7","Black Coach Handbag With Coach Logo Lining","126.0","20987.0","20861.0","85.6666666667","9337.0","9251.33333333","42"
