Ground truth number,HITId
1,3SU800BH85RF9Y0UPFKR6ZAS4PXQU7
2,3L2OEKSTW89QK3K3DM0GNTV567N8YD
3,3MD8CKRQZYM67J40QV5D4NBMJV2RJE
4,3QD8LUVX4WXIXGBRAS7BSVE52BS5X2
5,3P888QFVX2TKWTGXTT8I7TI3M3AOQT
6,3X2YVV51PT34KY5IZ09DNMNHHTGW1H
7,3JMNNNO3B03B9JNEI49RS5XM9ZUW2Y
