#Ground truth number	Price	Average working time (s)	Average finishing time (s)	Average reaction time (s)	Root Mean Squared Error (Price)	Ground truth price
1	50.998	183.0	39090.0	38907.0	69.8232345283	4.99
2	113.2	165.2	27915.0	27749.8	112.366365074	185.0
3	22.588	112.6	21186.8	21074.2	14.5137355633	27.0
4	304.2	162.0	28087.2	27925.2	103.722707254	201.0
5	91.0	139.6	32369.6	32230.0	59.4161602596	76.99
6	36.992	160.0	42243.4	42083.4	54.4591597438	90.0
7	128.798	164.6	49454.6	49290.0	157.677328808	35.0
