#Ground truth number	Average working time (s)	Average finishing time (s)	Average reaction time (s)
1	292.0	4565.33333333	4273.33333333
2	87.6666666667	3974.66666667	3887.0
3	54.0	7165.66666667	7111.66666667
4	140.333333333	7318.33333333	7178.0
5	87.3333333333	4871.66666667	4784.33333333
6	127.333333333	29582.6666667	29455.3333333
7	94.0	30689.6666667	30595.6666667
