Ground truth number,HITId
1,36KM3FWE3QBPNUJZV9X1H15QG0R07J
2,3D3B8GE891QWPUBCRRABAYX4JYR9PB
3,3UOMW19E6C5UUI0WJWBOEITVYJT5C2
4,3KLL7H3EGC029KQRBF72T7KAOZ0HVU
5,3JHB4BPSFJ8HP6CRR4P0A3NEOUD9Q2
6,386T3MLZLMUTN8OI5EP7V11LRKX086
7,3Y7LTZE0YSLONQ1LCB34XSMW6I7UZ7
