Ground truth number,HITId
1,3FULMHZ7OTWP7L8NIGMSCMSTS134MF
2,3VDI8GSXAESQYCZ3JGEAGTO1Y1M8GH
3,3PZDSVZ3J4GVP3TNUH1SP1HTXRD4NF
4,31J7RYECZKPO94TJVM2BEB61GC31LX
5,3HUR21WDDTOGZ4LBLUC83SCYU6LYXD
6,3YD0MU1NC10LO7HHNBUU67H3PM47AI
7,3KTCJ4SCVF08FMB4VY3QEOLQGHT1MZ
