Ground truth number,HITId
1,36BTXXLZ2U7G41LFNOI9YLM3XKRR46
2,3NKW03WTLL6S12PZKFZSONVPLROWQW
3,3UY4PIS8QQKEX4W47ZIQR3AQK3TN12
4,3DIIW4IV8OU3B2IWX1O0KTLCAO94IG
5,3RWO3EJELG8E0P8HNEVIVSFLKITP1Z
6,3P6ENY9P78VXNE6RC88JEIUGFTVHIF
7,371QPA24C1NCSH1O4V4202GI9LF1TH
