Ground truth number,HITId
1,34F34TZU7VYP3ZNFB5QC3F3E42MJ2M
2,3OZ4VAIBEWEY0QLHZFAN5K0P10EVJ5
3,3OPLMF3EU4MRNB080909BIJ4JRKLNT
4,3FO95NVK5BZZ6MNQDPERWO29CKESR3
5,3RQVKZ7ZRJIWJ4MDAW1F0PY5DGM27G
6,39KV3A5D176PO33B4BGLR7B9BXW7S9
7,37ZQELHEQZXBTTIT0L1OBVYTJY7NMY
