Condition	Model	Seller rating	Seller rating count	Duration	Number of pictures	Length of description	End Weekday	Start Weekday	End Hour	Handling time	Global shipping	Shipping Locations	Shipping Type	Return accepted	Price
1.0	0.14	1.0	0.5	0.666666666667	0.909090909091	0.004844	0.833333333333	0.833333333333	0.0	0.05	0.0	0.00401606425703	0.714285714286	1.0	25.84
1.0	0.12	1.0	0.25	0.666666666667	0.454545454545	0.00086	0.0	0.0	0.0	0.1	0.0	0.00401606425703	1.0	1.0	8.5
1.0	0.14	1.0	0.416666666667	0.0	0.272727272727	0.00026	0.833333333333	0.666666666667	0.739130434783	0.15	0.0	0.00401606425703	0.714285714286	0.0	24.5
1.0	0.86	0.994	0.333333333333	0.0	0.0	0.00082	0.833333333333	0.666666666667	0.173913043478	0.1	0.0	0.0240963855422	0.714285714286	0.0	10.5
1.0	0.1	1.0	0.333333333333	0.666666666667	0.0	0.000736	0.0	0.0	0.0434782608696	0.05	1.0	0.160642570281	1.0	1.0	2.99
1.0	0.14	1.0	0.25	0.666666666667	0.181818181818	0.000688	0.0	0.0	0.0	0.1	0.0	0.00401606425703	0.714285714286	0.0	36.0
1.0	0.06	1.0	0.416666666667	0.444444444444	0.181818181818	0.000268	0.333333333333	0.666666666667	0.173913043478	0.15	0.0	0.00401606425703	0.714285714286	0.0	4.0
1.0	0.86	1.0	0.416666666667	0.444444444444	0.0909090909091	0.00075	1.0	0.166666666667	0.95652173913	0.1	0.0	0.00401606425703	0.714285714286	0.0	21.5
1.0	0.06	1.0	0.25	0.444444444444	0.272727272727	0.000604	0.666666666667	1.0	0.521739130435	0.5	0.0	0.00803212851406	0.714285714286	0.0	30.0
1.0	0.12	0.999	0.583333333333	0.444444444444	0.545454545455	0.008694	0.166666666667	0.5	0.0434782608696	0.05	0.0	1.0	1.0	1.0	26.01
1.0	0.14	0.958	0.25	0.0	0.0	0.000424	0.5	0.333333333333	0.826086956522	0.5	0.0	1.0	0.714285714286	1.0	19.76
1.0	0.06	0.998	0.416666666667	0.666666666667	0.0	0.001544	1.0	1.0	0.0	0.05	0.0	1.0	1.0	1.0	5.99
1.0	0.86	1.0	0.25	0.666666666667	0.272727272727	0.002186	0.833333333333	0.833333333333	0.608695652174	0.05	0.0	1.0	1.0	1.0	1.99
1.0	0.06	1.0	0.5	0.666666666667	0.181818181818	0.003356	0.0	0.0	0.0869565217391	0.0	1.0	0.00401606425703	0.714285714286	1.0	5.02
1.0	0.12	1.0	0.25	0.666666666667	0.272727272727	0.00201	0.833333333333	0.833333333333	0.130434782609	0.05	0.0	1.0	1.0	1.0	5.25
