#Ground truth number	Length of description	Average working time (Writing)	Average finishing time (Writing)	Average reaction time (Writing)	Average working time (Voting)	Average finishing time (Voting)	Average reaction time (Voting)
1	629	446.333333333	15940.6666667	15494.3333333	184.25	509.5	325.25
2	280	407.666666667	27003.6666667	26596.0	254.25	14868.5	14614.25
3	270	370.333333333	5134.66666667	6344.0	60.25	2630.75	2414.75
4	632	438.666666667	15558.6666667	13708.0	163.0	20601.75	21406.0
5	578	726.666666667	14198.3333333	4703.66666667	66.25	1999.0	7867.5
6	572	373.333333333	5283.0	4307.0	139.75	2365.0	2496.0
7	223	460.0	5353.33333333	1213.0	49.75	20385.75	1290.75
