Ground truth number,HITId
1,3RDTX9JRTX07JO7CV5GUAC6JLU7796
2,3WKGUBL7SYL513Q2I4LDC9D4UMY4LG
3,3E6L1VR4XVLXGYKKFHBUEUSYUT66FB
4,3G9UA71JVUTWP0KLHH77Z6KMHZK7J2
5,32K26U12DMNLX4LPPJOC2M5CY6GVD8
6,3NOEP8XAU31MQQTAU7GPQ1JMSR5XPN
7,3D17ECOUODU7T03UPGYBIPCKIGY13N
