"Ground truth number","Category","Average working time (s)","Average finishing time (s)","Average reaction time (s)"
"1","Jewelry & Watches","292.0","4565.33333333","4273.33333333"
"2","Cell Phones & Accessories","87.6666666667","3974.66666667","3887.0"
"3","Sports Mem, Cards & Fan Shop","54.0","7165.66666667","7111.66666667"
"4","Kitchen, Dining & Bar","140.333333333","7318.33333333","7178.0"
"5","Clothing, Shoes & Accessories","87.3333333333","4871.66666667","4784.33333333"
"6","Toys & Hobbies","127.333333333","29582.6666667","29455.3333333"
"7","Women's Handbags & Bags","94.0","30689.6666667","30595.6666667"
