"Ground truth number","Evaluation","Votes of crowdsourced content (in %)","Average working time (s)","Average finishing time (s)","Average reaction time (s)"
"1","Ground truth","0.4","82.4","901.6","819.2"
"2","Ground truth","0.0","79.2","1412.2","1333.0"
"3","Ground truth","0.2","56.0","1334.8","1278.8"
"4","Ground truth","0.0","97.8","1822.8","1725.0"
"5","Ground truth","0.0","161.4","1150.8","989.4"
"6","Ground truth","0.2","54.0","1062.8","1008.8"
"7","Ground truth","0.4","84.0","1372.6","1288.6"
