Ground truth number,HITId
1,34ZTTGSNJWNA4CUAPGDSNKL28DQHQI
2,3FBEFUUYRJ42K73C41P20TH7VHOA63
3,3YD0MU1NC10LO7HHNBUU67H3QS8A72
4,3SA4EMRVJU1ET0NZRVRIHNWBH030P9
5,3YO4AH2FPCJZTCOER867HSMLMWP0Q0
6,3IZPORCT1E8AGD9A2V2SSAV74ZSHRJ
7,3IVKZBIBJZ8MHS9NHK2XIK03Q1BSHI
