Ground truth number,HITId
1,3VGET1QSZZYIVKKKOGQMOWEUIBB7WA
2,3M47JKRKCW0O1JAX735O42BC5TP68W
3,3A520CCNWMZ6XMWRAJ80CH9KCFCAEO
4,3ZXV7Q5FJANMWFTLP8OX0UK8OJCFCD
5,3BVS8WK9QZUNW135CGYNS7RIMQ5BIU
6,3MG8450X2N9U9MZFP2526UKIXP6PU0
7,3B9XR6P1WDUJRCNBUYJN486IZ5UBJ6
