#Ground truth number	Length of description	Average working time (Writing)	Average finishing time (Writing)	Average reaction time (Writing)	Average working time (Voting)	Average finishing time (Voting)	Average reaction time (Voting)
1	418	122.333333333	8387.66666667	8265.33333333	76.0	15935.75	15859.75
2	336	111.666666667	154.333333333	3711.0	84.5	16263.25	10678.25
3	307	219.0	13794.6666667	15779.3333333	70.5	21124.0	12344.25
4	181	63.6666666667	833.666666667	770.0	44.75	17745.0	17700.25
5	313	131.333333333	4449.33333333	5466.66666667	79.5	12677.0	12480.75
6	265	834.333333333	20693.6666667	19859.3333333	647.5	13581.5	12934.0
7	141	670.0	5775.33333333	5105.33333333	507.5	15443.0	14935.5
