#Ground truth number	Price	Average working time (s)	Average finishing time (s)	Average reaction time (s)	Root Mean Squared Error (Price)	Ground truth price
1	54.4	216.6	56910.8	56694.2	58.3676974019	4.99
2	139.0	270.0	40311.2	40041.2	81.3633824272	185.0
3	121.0	273.2	40135.6	39862.4	108.166538264	27.0
4	241.8	513.8	43970.0	43456.2	68.5390399699	201.0
5	37.0	204.6	56801.8	56597.2	41.8951083063	76.99
6	121.6	1214.4	53356.0	52141.6	137.734527262	90.0
7	134.1	758.4	34327.8	50849.4	133.180516593	35.0
