Condition	Model	Region Code	Seller rating	Seller rating count	Duration	Number of pictures	Length of description	End Weekday	Start Weekday	End Hour	Handling time	Global shipping	Shipping Locations	Shipping Type	Return accepted	Price
2.0	3.0	1.0	100.0	3.0	7.0	4.0	190.0	7.0	7.0	19.0	2.0	1.0	249.0	7.0	0.0	105.0
2.0	7.0	3.0	100.0	3.0	3.0	4.0	561.0	3.0	7.0	15.0	2.0	0.0	1.0	5.0	0.0	36.0
2.0	4.0	3.0	100.0	1.0	7.0	12.0	471.0	2.0	2.0	1.0	1.0	0.0	1.0	5.0	0.0	152.5
1.0	3.0	3.0	98.4	4.0	7.0	6.0	2890.0	4.0	4.0	1.0	3.0	1.0	40.0	7.0	0.0	26.0
2.0	5.0	3.0	98.8	4.0	7.0	5.0	521.0	4.0	4.0	2.0	2.0	0.0	1.0	7.0	1.0	8.0
2.0	2.0	3.0	100.0	0.0	3.0	12.0	526.0	5.0	2.0	18.0	1.0	0.0	1.0	3.0	0.0	405.0
1.0	4.0	3.0	99.4	8.0	7.0	3.0	1547.0	4.0	4.0	19.0	1.0	0.0	1.0	7.0	0.0	51.0
2.0	6.0	3.0	100.0	3.0	5.0	4.0	221.0	7.0	2.0	13.0	2.0	0.0	1.0	5.0	0.0	45.0
1.0	3.0	3.0	99.6	4.0	3.0	8.0	1428.0	1.0	5.0	17.0	1.0	0.0	1.0	5.0	0.0	18.5
1.0	4.0	3.0	100.0	6.0	7.0	3.0	929.0	3.0	3.0	23.0	1.0	0.0	1.0	5.0	1.0	122.5
2.0	4.0	3.0	0.0	0.0	10.0	6.0	230.0	3.0	7.0	18.0	3.0	0.0	1.0	7.0	0.0	116.39
6.0	2.0	1.0	100.0	0.0	7.0	5.0	668.0	2.0	2.0	18.0	1.0	0.0	1.0	5.0	0.0	365.0
2.0	4.0	3.0	100.0	1.0	1.0	3.0	156.0	6.0	5.0	18.0	2.0	1.0	40.0	7.0	0.0	160.0
2.0	4.0	3.0	100.0	2.0	1.0	7.0	819.0	1.0	7.0	1.0	2.0	0.0	1.0	5.0	1.0	128.05
2.0	4.0	3.0	100.0	3.0	5.0	4.0	339.0	7.0	2.0	22.0	2.0	0.0	1.0	5.0	0.0	142.5
2.0	4.0	3.0	96.3	2.0	7.0	5.0	890.0	1.0	1.0	0.0	2.0	1.0	40.0	7.0	0.0	117.5
2.0	3.0	3.0	99.4	5.0	7.0	7.0	340.0	3.0	3.0	3.0	1.0	0.0	249.0	7.0	1.0	147.5
6.0	2.0	1.0	100.0	8.0	3.0	4.0	2267.0	7.0	4.0	1.0	1.0	0.0	1.0	7.0	1.0	342.0
3.0	6.0	3.0	100.0	0.0	5.0	3.0	247.0	3.0	5.0	23.0	2.0	0.0	1.0	3.0	0.0	48.0
2.0	4.0	3.0	100.0	6.0	3.0	12.0	238.0	1.0	5.0	21.0	1.0	1.0	40.0	7.0	1.0	142.5
1.0	2.0	1.0	99.0	10.0	3.0	3.0	6360.0	1.0	5.0	3.0	3.0	1.0	40.0	7.0	1.0	212.5
1.0	4.0	3.0	99.8	7.0	7.0	7.0	1151.0	4.0	4.0	2.0	5.0	1.0	40.0	7.0	0.0	70.96
2.0	4.0	3.0	99.4	11.0	3.0	3.0	4316.0	2.0	6.0	4.0	1.0	0.0	1.0	5.0	1.0	125.0
2.0	4.0	3.0	99.4	11.0	3.0	3.0	4432.0	1.0	5.0	0.0	1.0	0.0	1.0	5.0	1.0	152.5
2.0	4.0	3.0	99.4	11.0	3.0	3.0	4432.0	4.0	1.0	23.0	1.0	0.0	1.0	5.0	1.0	122.0
2.0	6.0	3.0	85.7	0.0	7.0	5.0	258.0	6.0	6.0	2.0	2.0	0.0	1.0	7.0	0.0	38.0
1.0	2.0	1.0	99.3	5.0	7.0	6.0	2146.0	1.0	1.0	23.0	1.0	0.0	1.0	7.0	1.0	285.0
1.0	3.0	3.0	100.0	5.0	7.0	4.0	337.0	4.0	4.0	15.0	2.0	0.0	1.0	5.0	0.0	46.1
2.0	4.0	3.0	99.7	7.0	7.0	12.0	2723.0	5.0	5.0	2.0	1.0	0.0	1.0	5.0	1.0	102.5
6.0	2.0	1.0	100.0	1.0	7.0	4.0	288.0	4.0	4.0	23.0	2.0	0.0	1.0	7.0	0.0	375.0
2.0	6.0	3.0	100.0	5.0	3.0	8.0	390.0	3.0	7.0	15.0	2.0	0.0	1.0	3.0	0.0	53.0
1.0	2.0	1.0	99.4	6.0	1.0	5.0	1158.0	2.0	1.0	4.0	1.0	1.0	40.0	7.0	1.0	355.0
2.0	4.0	3.0	100.0	2.0	7.0	5.0	1051.0	6.0	6.0	17.0	3.0	0.0	1.0	5.0	0.0	127.0
1.0	4.0	3.0	100.0	1.0	7.0	3.0	237.0	5.0	5.0	20.0	1.0	1.0	40.0	3.0	0.0	115.4
6.0	4.0	3.0	100.0	1.0	7.0	3.0	276.0	5.0	5.0	0.0	2.0	1.0	40.0	7.0	0.0	192.5
2.0	4.0	3.0	99.7	7.0	7.0	3.0	751.0	6.0	6.0	19.0	1.0	0.0	249.0	5.0	1.0	112.5
2.0	3.0	3.0	99.1	8.0	5.0	6.0	9400.0	1.0	3.0	22.0	1.0	0.0	1.0	7.0	1.0	86.0
1.0	2.0	1.0	99.3	5.0	5.0	5.0	2152.0	6.0	1.0	23.0	1.0	0.0	1.0	7.0	1.0	285.0
2.0	4.0	3.0	100.0	0.0	3.0	4.0	315.0	1.0	5.0	12.0	2.0	0.0	1.0	3.0	0.0	142.5
1.0	4.0	3.0	99.7	6.0	5.0	6.0	1701.0	5.0	7.0	4.0	3.0	0.0	1.0	3.0	0.0	118.07
1.0	3.0	3.0	99.1	6.0	7.0	12.0	4308.0	4.0	4.0	20.0	1.0	0.0	1.0	5.0	0.0	28.0
