Condition	Model	Region Code	Seller rating	Seller rating count	Duration	Number of pictures	Length of description	End Weekday	Start Weekday	End Hour	Handling time	Global shipping	Shipping Locations	Shipping Type	Return accepted	Price
6.0	2.0	1.0	100.0	2.0	7.0	3.0	525.0	7.0	7.0	0.0	0.0	0.0	2.0	5.0	1.0	16
1.0	4.0	3.0	99.5	6.0	7.0	7.0	1985.0	4.0	4.0	2.0	2.0	0.0	1.0	5.0	1.0	3
2.0	2.0	1.0	95.2	1.0	7.0	6.0	690.0	6.0	6.0	16.0	3.0	0.0	249.0	5.0	1.0	16
2.0	1.0	3.0	99.4	3.0	5.0	4.0	545.0	5.0	7.0	23.0	1.0	0.0	1.0	7.0	1.0	5
1.0	4.0	3.0	99.1	6.0	7.0	8.0	91.0	7.0	7.0	2.0	1.0	0.0	1.0	7.0	1.0	3
2.0	4.0	3.0	99.4	11.0	3.0	3.0	4316.0	2.0	6.0	4.0	1.0	0.0	1.0	5.0	1.0	6
2.0	3.0	3.0	100.0	2.0	3.0	8.0	1512.0	4.0	1.0	23.0	3.0	1.0	40.0	7.0	0.0	9
1.0	6.0	3.0	100.0	3.0	7.0	3.0	136.0	4.0	4.0	3.0	2.0	0.0	1.0	5.0	0.0	1
2.0	4.0	3.0	99.4	11.0	1.0	3.0	4316.0	2.0	1.0	3.0	1.0	0.0	1.0	5.0	1.0	5
2.0	4.0	3.0	100.0	5.0	1.0	5.0	564.0	4.0	3.0	15.0	1.0	1.0	33.0	7.0	1.0	7
1.0	4.0	3.0	100.0	3.0	5.0	4.0	53.0	1.0	3.0	13.0	2.0	0.0	1.0	5.0	1.0	5
1.0	2.0	1.0	99.3	5.0	5.0	6.0	2096.0	7.0	2.0	16.0	1.0	0.0	1.0	7.0	1.0	11
1.0	2.0	1.0	99.3	5.0	3.0	6.0	2146.0	1.0	5.0	18.0	1.0	0.0	1.0	7.0	1.0	12
1.0	3.0	3.0	99.7	5.0	7.0	5.0	3998.0	2.0	2.0	17.0	1.0	0.0	1.0	5.0	0.0	5
2.0	4.0	3.0	99.7	10.0	7.0	10.0	5174.0	1.0	1.0	17.0	1.0	1.0	4.0	7.0	1.0	5
1.0	6.0	3.0	99.0	10.0	3.0	3.0	7717.0	7.0	4.0	20.0	3.0	0.0	1.0	3.0	1.0	1
2.0	2.0	1.0	99.4	5.0	7.0	3.0	312.0	2.0	2.0	0.0	1.0	1.0	249.0	7.0	1.0	16
