Ground truth number,HITId
1,36U4VBVNQNCFLZFU2U9RBPKXXNXURV
2,307L9TDWJXRA77AJU3W9FWPNJDON3S
3,367O8HRHKF7S5GLS2DIEOVRZKCSS4U
4,36MUZ9VAE514VTZ3UTZ22IHQWYDDES
5,31KPKEKW49CCP6MP8Q9HM3RMZCR0BM
6,33NKDW9FFWH3W1K6P2UJ61KFR4BXCK
7,3GV1I4SEO8OJGQUG1SES97XIO9RL6V
