Condition	Model	Storage	Seller rating	Seller rating count	Duration	Number of pictures	Length of description	End Weekday	Start Weekday	End Hour	Handling time	Global shipping	Shipping Locations	Shipping Type	Return accepted	Price
2.0	4.0	2.0	100.0	2.0	7.0	3.0	274.0	4.0	4.0	15.0	2.0	1.0	39.0	3.0	0.0	12
2.0	0.0	1.0	100.0	3.0	7.0	9.0	2580.0	4.0	4.0	16.0	3.0	0.0	1.0	5.0	0.0	2
1.0	5.0	2.0	100.0	1.0	3.0	8.0	2133.0	4.0	1.0	16.0	2.0	0.0	1.0	5.0	0.0	11
2.0	4.0	1.0	100.0	0.0	7.0	12.0	175.0	4.0	4.0	17.0	2.0	0.0	1.0	7.0	0.0	6
2.0	6.0	2.0	99.0	2.0	1.0	6.0	138.0	5.0	4.0	21.0	2.0	0.0	1.0	7.0	0.0	12
2.0	3.0	2.0	100.0	0.0	3.0	4.0	98.0	4.0	1.0	22.0	1.0	0.0	249.0	3.0	0.0	6
2.0	3.0	2.0	100.0	3.0	3.0	3.0	142.0	6.0	3.0	6.0	2.0	1.0	39.0	3.0	0.0	4
2.0	4.0	2.0	100.0	0.0	5.0	9.0	465.0	5.0	7.0	20.0	2.0	0.0	1.0	3.0	0.0	7
1.0	3.0	1.0	0.0	0.0	3.0	7.0	288.0	6.0	3.0	5.0	2.0	0.0	1.0	7.0	0.0	3
1.0	5.0	2.0	100.0	3.0	5.0	11.0	892.0	6.0	1.0	0.0	1.0	1.0	39.0	7.0	0.0	11
2.0	3.0	1.0	0.0	0.0	7.0	3.0	194.0	4.0	4.0	15.0	2.0	0.0	1.0	3.0	0.0	9
1.0	4.0	2.0	0.0	0.0	7.0	4.0	186.0	6.0	6.0	2.0	3.0	0.0	1.0	7.0	0.0	3
1.0	6.0	2.0	100.0	2.0	1.0	6.0	280.0	4.0	3.0	15.0	2.0	0.0	1.0	5.0	0.0	9
2.0	3.0	3.0	100.0	3.0	7.0	8.0	218.0	4.0	4.0	17.0	3.0	0.0	1.0	7.0	0.0	10
2.0	4.0	2.0	100.0	3.0	7.0	3.0	1752.0	6.0	6.0	4.0	3.0	0.0	249.0	7.0	1.0	9
1.0	3.0	1.0	99.5	5.0	7.0	4.0	2545.0	4.0	4.0	21.0	1.0	1.0	39.0	7.0	1.0	4
2.0	5.0	2.0	100.0	1.0	3.0	8.0	78.0	4.0	1.0	16.0	2.0	0.0	1.0	3.0	0.0	7
2.0	0.0	1.0	100.0	5.0	7.0	9.0	680.0	6.0	6.0	6.0	3.0	1.0	249.0	7.0	1.0	9
2.0	5.0	2.0	0.0	1.0	5.0	5.0	321.0	5.0	7.0	17.0	2.0	0.0	1.0	7.0	0.0	16
2.0	5.0	2.0	100.0	1.0	3.0	3.0	1639.0	5.0	2.0	17.0	1.0	0.0	4.0	3.0	1.0	17
1.0	4.0	2.0	100.0	2.0	3.0	7.0	603.0	5.0	2.0	2.0	2.0	0.0	1.0	3.0	0.0	4
2.0	3.0	2.0	100.0	1.0	1.0	6.0	294.0	5.0	4.0	3.0	2.0	0.0	1.0	3.0	0.0	8
2.0	2.0	2.0	100.0	0.0	7.0	9.0	429.0	5.0	5.0	21.0	2.0	1.0	39.0	7.0	0.0	3
2.0	4.0	2.0	0.0	0.0	7.0	3.0	48.0	5.0	5.0	0.0	3.0	0.0	1.0	3.0	0.0	6
2.0	4.0	2.0	96.4	2.0	1.0	4.0	199.0	5.0	4.0	2.0	2.0	0.0	1.0	7.0	0.0	6
2.0	4.0	3.0	100.0	2.0	3.0	8.0	36.0	6.0	3.0	1.0	1.0	0.0	1.0	3.0	0.0	13
1.0	5.0	2.0	100.0	2.0	7.0	4.0	362.0	5.0	5.0	18.0	2.0	0.0	1.0	5.0	0.0	6
2.0	7.0	2.0	100.0	2.0	3.0	5.0	66.0	4.0	1.0	17.0	2.0	1.0	39.0	7.0	0.0	15
2.0	7.0	2.0	100.0	1.0	3.0	4.0	94.0	5.0	2.0	19.0	2.0	1.0	39.0	3.0	0.0	19
3.0	7.0	4.0	100.0	2.0	7.0	5.0	404.0	5.0	5.0	16.0	2.0	0.0	1.0	7.0	0.0	22
2.0	3.0	1.0	95.6	3.0	7.0	6.0	355.0	5.0	5.0	0.0	2.0	0.0	1.0	5.0	0.0	7
2.0	4.0	2.0	100.0	5.0	3.0	8.0	679.0	4.0	1.0	5.0	2.0	0.0	1.0	3.0	0.0	7
2.0	6.0	2.0	100.0	1.0	7.0	3.0	276.0	6.0	6.0	4.0	2.0	0.0	1.0	7.0	0.0	10
2.0	3.0	2.0	100.0	3.0	7.0	4.0	108.0	5.0	5.0	15.0	2.0	0.0	1.0	3.0	0.0	5
2.0	4.0	2.0	0.0	2.0	5.0	5.0	400.0	5.0	7.0	20.0	2.0	0.0	1.0	7.0	0.0	8
2.0	5.0	4.0	50.0	0.0	7.0	5.0	209.0	4.0	4.0	23.0	2.0	1.0	39.0	7.0	0.0	16
2.0	3.0	2.0	100.0	1.0	7.0	11.0	311.0	4.0	4.0	19.0	2.0	0.0	1.0	7.0	0.0	6
2.0	7.0	4.0	100.0	3.0	1.0	4.0	171.0	5.0	4.0	1.0	2.0	0.0	1.0	7.0	1.0	13
2.0	3.0	1.0	100.0	1.0	1.0	6.0	102.0	4.0	3.0	16.0	2.0	0.0	1.0	7.0	0.0	4
3.0	3.0	2.0	100.0	4.0	1.0	4.0	684.0	6.0	5.0	5.0	3.0	0.0	1.0	7.0	0.0	5
2.0	4.0	2.0	100.0	3.0	7.0	9.0	158.0	4.0	4.0	12.0	2.0	1.0	39.0	3.0	0.0	11
2.0	5.0	2.0	100.0	3.0	7.0	9.0	326.0	5.0	5.0	23.0	2.0	0.0	1.0	7.0	0.0	14
2.0	5.0	2.0	95.7	1.0	1.0	11.0	790.0	5.0	4.0	18.0	1.0	1.0	40.0	7.0	0.0	18
2.0	3.0	1.0	99.7	5.0	7.0	3.0	171.0	6.0	6.0	0.0	1.0	1.0	1.0	3.0	1.0	2
