Condition	Model	Storage	Seller rating	Seller rating count	Duration	Number of pictures	Length of description	End Weekday	Start Weekday	End Hour	Handling time	Global shipping	Shipping Locations	Shipping Type	Return accepted	Price
3.0	7.0	4.0	100.0	2.0	7.0	5.0	404.0	5.0	5.0	16.0	2.0	0.0	1.0	7.0	0.0	545.0
2.0	3.0	1.0	95.6	3.0	7.0	6.0	355.0	5.0	5.0	0.0	2.0	0.0	1.0	5.0	0.0	167.51
2.0	4.0	2.0	100.0	5.0	3.0	8.0	679.0	4.0	1.0	5.0	2.0	0.0	1.0	3.0	0.0	157.5
2.0	6.0	2.0	100.0	1.0	7.0	3.0	276.0	6.0	6.0	4.0	2.0	0.0	1.0	7.0	0.0	237.5
2.0	3.0	2.0	100.0	3.0	7.0	4.0	108.0	5.0	5.0	15.0	2.0	0.0	1.0	3.0	0.0	100.0
2.0	4.0	2.0	0.0	2.0	5.0	5.0	400.0	5.0	7.0	20.0	2.0	0.0	1.0	7.0	0.0	191.36
2.0	5.0	4.0	50.0	0.0	7.0	5.0	209.0	4.0	4.0	23.0	2.0	1.0	39.0	7.0	0.0	387.0
2.0	3.0	2.0	100.0	1.0	7.0	11.0	311.0	4.0	4.0	19.0	2.0	0.0	1.0	7.0	0.0	135.0
2.0	7.0	4.0	100.0	3.0	1.0	4.0	171.0	5.0	4.0	1.0	2.0	0.0	1.0	7.0	1.0	320.0
2.0	3.0	1.0	100.0	1.0	1.0	6.0	102.0	4.0	3.0	16.0	2.0	0.0	1.0	7.0	0.0	86.21
3.0	3.0	2.0	100.0	4.0	1.0	4.0	684.0	6.0	5.0	5.0	3.0	0.0	1.0	7.0	0.0	103.25
2.0	4.0	2.0	100.0	3.0	7.0	9.0	158.0	4.0	4.0	12.0	2.0	1.0	39.0	3.0	0.0	267.0
2.0	5.0	2.0	100.0	3.0	7.0	9.0	326.0	5.0	5.0	23.0	2.0	0.0	1.0	7.0	0.0	346.0
2.0	5.0	2.0	95.7	1.0	1.0	11.0	790.0	5.0	4.0	18.0	1.0	1.0	40.0	7.0	0.0	425.01
2.0	3.0	1.0	99.7	5.0	7.0	3.0	171.0	6.0	6.0	0.0	1.0	1.0	1.0	3.0	1.0	46.0
2.0	4.0	2.0	100.0	3.0	7.0	3.0	75.0	6.0	6.0	1.0	2.0	1.0	39.0	7.0	0.0	145.51
2.0	5.0	2.0	99.1	3.0	7.0	10.0	331.0	5.0	5.0	22.0	2.0	1.0	39.0	3.0	1.0	370.0
2.0	6.0	2.0	100.0	3.0	7.0	6.0	328.0	5.0	5.0	3.0	3.0	0.0	1.0	7.0	0.0	400.0
2.0	3.0	2.0	100.0	3.0	7.0	5.0	194.0	4.0	4.0	18.0	2.0	0.0	1.0	7.0	0.0	100.0
2.0	3.0	1.0	100.0	3.0	1.0	11.0	594.0	6.0	5.0	0.0	2.0	0.0	1.0	7.0	0.0	118.07
2.0	4.0	4.0	100.0	1.0	7.0	8.0	1306.0	4.0	4.0	18.0	1.0	0.0	1.0	3.0	1.0	315.0
1.0	5.0	2.0	99.5	3.0	1.0	7.0	1425.0	5.0	4.0	15.0	1.0	1.0	40.0	7.0	0.0	112.5
2.0	7.0	2.0	100.0	2.0	1.0	4.0	64.0	4.0	3.0	23.0	3.0	1.0	39.0	7.0	0.0	311.0
1.0	2.0	3.0	100.0	3.0	10.0	6.0	1716.0	5.0	2.0	23.0	3.0	0.0	249.0	3.0	0.0	57.0
2.0	7.0	3.0	100.0	1.0	1.0	4.0	223.0	5.0	4.0	14.0	2.0	1.0	40.0	7.0	0.0	410.0
2.0	3.0	2.0	99.4	4.0	1.0	6.0	505.0	4.0	3.0	15.0	0.0	0.0	1.0	3.0	1.0	110.0
1.0	5.0	2.0	0.0	0.0	3.0	3.0	129.0	6.0	3.0	2.0	2.0	0.0	1.0	3.0	0.0	285.0
2.0	3.0	1.0	100.0	1.0	1.0	9.0	207.0	6.0	5.0	7.0	2.0	0.0	1.0	3.0	0.0	90.99
2.0	3.0	1.0	100.0	3.0	3.0	5.0	177.0	4.0	1.0	16.0	3.0	0.0	1.0	3.0	0.0	110.0
2.0	6.0	2.0	0.0	0.0	7.0	5.0	23.0	4.0	4.0	18.0	2.0	1.0	39.0	7.0	0.0	370.0
2.0	3.0	2.0	75.0	1.0	7.0	3.0	130.0	5.0	5.0	0.0	2.0	0.0	1.0	3.0	1.0	105.0
1.0	0.0	1.0	98.9	5.0	1.0	3.0	1039.0	4.0	3.0	18.0	1.0	0.0	1.0	5.0	0.0	8.49
