"Ground truth number","Description","Length of description","Average working time (Writing)","Average finishing time (Writing)","Average reaction time (Writing)","Average working time (Voting)","Average finishing time (Voting)","Average reaction time (Voting)"
"1","This beautiful watch manufactured by Puma has very many different features on it.  Apart from it's sleek black band, the face of this watch is interchangeable, matching your team or country you want to represent. Not only does this watch serve as a stopwatch, it also lights up which is perfect for using at night.  This watch is made with stainless steel.  The watch is also water resistant. Model number Pu910751011.","418","122.333333333","8387.66666667","8265.33333333","76.0","15935.75","15859.75"
"2","This is a beautiful iPhone 4 in it's original box.  Included with this iPhone is the wall adapter and charger.  The phone is in good condition with no scratches on the screen.  This particular iPhone is all black, and has a new sleek design.  The iPhone 4 is fairly new and a great product made by Apple. Will come in it's original box.","336","111.666666667","154.333333333","3711.0","84.5","16263.25","10678.25"
"3","This is a collection of 13 unique football cards. Various teams. 
In this lot you will receive: 8 Jersey cars and 5 holo-foil cards with signatures! All very rare cards, and great for any collector. Teams include Rams, Texans, Bills, and Buccaneers, among others. They are all in mint or near mint condition.","307","219.0","13794.6666667","15779.3333333","70.5","21124.0","12344.25"
"4","Ciliz Nespresso machine. Brand new in the box. Includes machine and milk frother. It is red. Never used. Perfect condition. Become a barrista in your own home! No recipes included. ","181","63.6666666667","833.666666667","770.0","44.75","17745.0","17700.25"
"5","For sale is a pair of white Nike lace up cleats, lightly used. Interior soles are fluorescent green. The word ""Nike"" is written on the back of each show in this same color. The  individual cleats on the bottom of the shoe are also fluorescent green. Shoes come with shoelaces, also lightly used. Very clean item. ","313","131.333333333","4449.33333333","5466.66666667","79.5","12677.0","12480.75"
"6","Resident Evil Alexia figure. This is from series 2. She is brand new in the package. She comes complete and is in mint condition. The box may show a little wear. Excellent collector's item. A great find for any Resident Evil fans! Add this to your collection today!","265","834.333333333","20693.6666667","19859.3333333","647.5","13581.5","12934.0"
"7","Black leather purse/handbag. Has buckle closure on the front. Roomy inside. Buckle handle. Inside zippered hidden pocket. Designer Coach bag.","141","670.0","5775.33333333","5105.33333333","507.5","15443.0","14935.5"
