Ground truth number,HITId
7,3AFT28WXLE17FVSEGL39YRRHUBQOIM
6,38EHZ67RILR5J117DHOTLBPWKYJGM7
5,3B9XR6P1WDUJRCNBUYJN486I0RWBJH
4,337F8MIIMYCS471GTBZUEPLGRQ940X
3,3DTJ4WT8BCE7YU4ZMBOZTA0TMMMZEQ
2,3MDWE879UG1UL0A28MSAFESF4MK9BK
1,3F6045TU7CNBX7V5A2EEO8XPGMH99A
