Ground truth number,HITId
1,3K3G488TR17YOJAFOECJYNIC4D65QF
2,3L84EBDQ361FVZXNIWWS4QPL2X9KKN
3,3Y3CZJSZ9JSY0KPF1T1J3DSH0Z85RG
4,3M47JKRKCW0O1JAX735O42BC62V86N
5,3ZFRE2BDQ8DG4UVGHGERHZL02F0ZXC
6,3AXFSPQOYPX94TZRZ05JNYX3FCSFJH
7,3UUIU9GZC44BGZ275I6E3STZOK55TT
